Header Title,Description,Required,Type,Field Length,Enumerated,Unique,Predictive Model
ExternalId,Unique identifier for the account. This identifier must match the identifier that is delivered to the platform during the authentication process.,Yes,guid,100,,Yes,Faculty Demographics are not used for the predictive model
PersonIdentifier,Unique identifier for the account. This identifier must match the identifier that is delivered to the platform during the authentication process.,"No, but the header is required.",guid,100,,Yes,
EffectiveOn,The date and time at which this record became effective (e.g. mm/dd/yyyy hh:hh:hh).  The latest date/time entered will be the active record.  Every time an import is run ensure that this date is incremented forward from the most recent record.  Only the record with the latest date/time will appear on the account's record.,Yes,datetime,19,,,
FirstName,Account's first name,Yes,string,250,,,
LastName,Account's last name,Yes,string,250,,,
EmailAddress1,"The properly formatted email address for the Account.  EmailAddress1, 2 & 3 must be unique.",Yes,email,250,,,
EmailAddress1IsPreferred,Designation if email address 1 is the preferred email address.  Only one email address should be indicated to be the preferred email.,,logical,,"0,1",,
EmailAddress2,"Additional properly formatted email address for the Account.  EmailAddress1, 2 & 3 must be unique.",,email,250,,,
EmailAddress2IsPreferred,Designation if email address 2 is the preferred email address.  Only one email address should be indicated to be the preferred email.,,logical,,"0,1",,
EmailAddress3,"The properly formatted email address for the Account.  EmailAddress1, 2 & 3 must be unique.",,email,250,,,
EmailAddress3IsPreferred,Designation if email address 3 is the preferred email address.  Only one email address should be indicated to be the preferred email.,,logical,,"0,1",,
PreferredFirstName,Account's preferred first name,,string,250,,,
MiddleName,Account's middle name,,string,250,,,
Suffix,Account's suffix,,string,250,,,
DateOfBirth,The Account's date of birth (e.g. mm/dd/yyyy),,datetime,10,,,
Gender,Account's gender.  It is suggested that a consistent set of values be used over time.,,string,255,,,
Sex,Account's sex.  It is suggested that a consistent set of values be used over time.,,string,250,,,
Race1,"Races representing this Account.  Race 1, 2 & 3 must be unique.",,string,50,,,
Race2,,,string,50,,,
Race3,,,string,50,,,
Ethnicity1,"Ethnicities representing this Account.  Ethnicities 1, 2 & 3 must be unique.",,string,250,,,
Ethnicity2,,,string,250,,,
Ethnicity3,,,string,250,,,
PrivacyElected,Indication that the Account has elected their information to be flagged as private,,logical,,"0,1",,
PrimaryDepartment,The primary department the Account is associated with,,string,250,,,
Qualifications,The Account's set of qualifications,,string,250,,,
RetiredOn,The date the Account retired,,date_utc,,,,
TeachingStatus,The Account's current teaching status,,string,250,,,
Title,The current title of the Account,,string,250,,,
Address1AddressType,Designation of Address1 type,,string,20,,,
Address1Line1,First line of street Address1,,string,255,,,
Address1Line2,Second line of street Address1,,string,255,,,
